Penyakit,Pengobatan,Pencegahan
Pneumonia ,"Diberikan Antibiotik seperti (Oxyteracicline LA, Amoxycicillin LA, Vetoxy LA) + Vitamin. Pengulangan setelah tiga sampai enam hari dengan Pemberian Antiradang & Antipiretik (Tolfen LA / Phenylject )","Pencegahan melibatkan desinfeksi mingguan kandang, deteksi dini penyakit dengan kontrol rutin, pemberian antibiotik dan vitamin, sanitasi pagi yang rutin, serta penggunaan kipas angin untuk menjaga sirkulasi udara."
Diare,Pemberian obat antibiotik atau antihistamin & vitamin Memberikan hijauan dengan mengurangi pakan jadi (pakan + konsentrat) untuk masa pemulihan.,"Langkah pencegahan dan pengendalian penyakit melibatkan kebersihan lingkungan, isolasi hewan sakit, pencegahan pemasukan hewan rentan dari negara terinfeksi, serta penggunaan vaksin efektif"
Anthrax,"Pemberian antibiotika procain penisilin G, streptomycin, kombinasi antara Procain Penisilin G dengan Streptomycin, dan oksitetrasiklin. Serta pemberian antiserum yang tinggi titernya ( 100 â€“ 150 ml )","Pencegahan penyakit dilakukan melalui vaksinasi tahunan di wilayah yang terinfeksi, pengawasan ketat terhadap pergerakan ternak, isolasi hewan yang menunjukkan atau diduga sakit, dan pemusnahan bangkai hewan sakit dengan cara pembakaran atau pemakaman dalam-dalam."
Brucellosis ,Belum ada pengobatan yang efektif.  ,"Pencegahan penyakit difokuskan pada praktik sanitasi seperti membersihkan sisa abortus, membakar fetus dan plasenta, irigasi vagina selama seminggu, menghindari perkawinan hewan yang mengalami keguguran, memberikan susu dari hewan bebas penyakit kepada anak hewan yang lahir dari induk terinfeksi Brucellosis, serta membersihkan kandang dan peralatan tercemar dengan desinfektan seperti Phenol, Kresol, Ammonium Kuartener, Biocid, dan Lysol.




"
Septichaemia Epizootica (SE),"Pengobatan penyakit SE dapat diberikan antibiotika oxytetracycline, streptomycin dan sulphadimidine ","Pencegahan meliputi pengaturan ketat terhadap pemasukan ternak di daerah bebas Smallpox Enteritis (SE) dan vaksinasi secara intramuskuler dengan dosis 3 ml menggunakan vaksin oil adjuvant setidaknya sekali setahun pada ternak yang sehat di daerah yang terkena penyakit tersebut saat tidak terjadi kejadian penyakit.





"
Malignant Catrrahal Fever,"Sampai saat ini tidak ada obat yang efektif, oleh karena itu dianjurkan ternak yang menderita penyakit ingusan agar dipotong. ","Pencegahan meliputi kebijakan untuk menghindari pemeliharaan atau penggembalaan bersama sapi/kerbau dengan domba pada lokasi yang sama, mencegah pemasukan domba dari daerah lain sebagai carrier penyakit, dan meningkatkan sanitasi lingkungan serta tata laksana pemeliharaan ternak."
Apthea Epizootica (AE) ,"Belum ada obat yang efektif, yang dapat  mengobati ternak yang menderita Penyakit Mulut dan Kuku (PMK)","Langkah pencegahan termasuk vaksinasi massal, pengawasan ketat terhadap arus lalu lintas ternak, dan pemotongan paksa pada ternak yang terinfeksi Penyakit Mulut dan Kuku (PMK)."
Bovine Epheral Fever (BEF) ,"Sampai saat ini belum ada pengobatan yang efektif, namun demikian pemberian antibiotika berspektrum luas perlu dianjurkan untuk mencegah infeksi sekunder dan pemberian vitamin untuk menghindari stres. ","Mengamati kebersihan lingkungan, menggunakan insektisida untuk vektor penyakit, dan mengisolasi hewan sakit merupakan langkah-langkah pencegahan yang diperlukan."
Trypanosomiasis ,"Hewan yang sakit, dipisahkan dari yang sehat, pemberian 10 % Naganol dengan dosis pengobatan 3 gram/ekor intravena, moranyl 10 mg/ Kg berat badan, antrycide/ Quinapiramine 3 â€“5 mg/ Kg berat badan, berenil 3,5 mg/ Kg berat badan. ","Langkah-langkah pencegahan mencakup pemberian Naganol, pembasmian serangga penghisap darah, pembersihan tempat yang basah, dan pemotongan hewan sakit di malam hari untuk mengurangi penyebaran lalat.




"
Fasciolasis ,"Pengobatan dilakukan selama 3 kali pemberian yaitu : Pada permulaan musim penghujan. Pada pertengahan musim penghujan. Pada akhir musim penghujan. Obat obatan  yang diberikan antara lain : dovenix, bilevon, monil, dan carbontetrachlorida","Pencegahan mencakup eliminasi siput perantara menggunakan Mollusida secara kimia, pengendalian siput secara biologis dengan pemeliharaan itik, rotasi padang rumput, perbaikan sistem pengairan untuk mengurangi kelembaban, dan penjagaan ternak sakit serta sehat di area penggembalaan yang terpisah untuk mencegah kontaminasi."
Nematodosis,"Pengobatan ascariasis pada anak sapi dapat dilakukan dengan beragam obat cacing seperti Tetramison, Pipedon, Phenothiazine, Panacur, Ivomec, dan Monil dengan dosis yang disesuaikan berat badan, serta pemberian ramuan tradisional seperti tepung buah pinang, biji pinang segar, dan berbagai jenis daun seperti tembakau, kelor, pepaya, waru, dan jambu sebagai alternatif yang diberikan secara teratur hingga penyembuhan, dilakukan secara periodik pada anak sapi usia 2-3 minggu dengan pengulangan beberapa kali setahun.","Pencegahan meliputi sanitasi kandang yang baik, pemberian pakan berkualitas dan cukup, menghindari kepadatan ternak, memisahkan ternak dewasa dari yang muda, menghindari area yang becek, serta melakukan pemeriksaan kesehatan ternak secara rutin dan memberikan obat cacing secara teratur."
Thelazia,"Pengobatan kedokteran dan tradisional melibatkan penggunaan anestesi lokal seperti Procain HCl 2%, Acidum Boricum 3% (Boorwater), Mercuri Chlorit 0,05%, Diethyl tartrat 0,002%, Morantel tartrat 4%, serta Tetramisole, dan mencakup pembersihan mata ternak dengan larutan tembakau sebelum pengambilan cacing secara manual.","Pencegahan melibatkan sanitasi serta menjaga kebersihan di sekitar kandang, pemisahan serta pengobatan hewan yang sakit, dan penggunaan asap api sekitar kandang untuk mengusir lalat dan mencegah lalat lainnya hinggap pada mata ternak."
Scabies,"Pengobatan meliputi aplikasi medis menggunakan berbagai bahan seperti benzoas bensilikus, BHC, Coumaphos, vermectin (Ivomec), salep Coumaphos, salep belerang, dan pendekatan tradisional yang melibatkan penggunaan campuran oli bekas dengan sebuk belerang, air tembakau, serbuk biji kamper dan minyak kelapa, campuran belerang, kunyit, dan minyak kelapa, serta kombinasi kreolin dan spiritus.","Pencegahan mencakup menjaga sanitasi kandang, memberikan pakan yang bergizi, pemisahan serta pengobatan hewan sakit, serta menghindari kontak langsung dengan ternak sakit, sambil segera melaporkan kasus Scabies kepada dokter hewan atau instansi terkait."
Bloat,"Pengobatan melibatkan penggunaan antara obat medis seperti Anti Bloat dan Wonder Athympanicum, dan metode tradisional yang termasuk memberikan minyak goreng atau minyak kelapa dicampur dengan minyak kayu putih, memberikan gula merah yang diseduh dengan asam Jawa, serta penggunaan jahe dalam bentuk minuman, gosokan pada tubuh ternak, serta pemberian daun pepaya sebagai pakan.","Pencegahan meliputi menghindari melepas ternak terlalu pagi karena rumput masih basah, memberikan makanan yang layu, menghindari pakan yang rusak atau terlalu banyak leguminosa dalam ransum, serta memberikan hijauan dalam jumlah sedikit tapi sering, sambil memastikan ternak tidak terlalu lapar."
Jembrana,Belum ada pengobatan yang efektif.  ,"Pencegahan dan pengendalian penyakit Jembrana saat ini bergantung pada vaksinasi, namun keefektifannya masih sekitar 40-70%, sehingga diperlukan penelitian lebih lanjut terkait vaksin rekombinan DNA serta penggunaan imunostimulan untuk mengatasi penyakit ini."
Akabane,"Belum ada pengobatan untuk abortus, lahir mati atau kelahiran anomali","Langkah pencegahan, pengendalian vektor, dan penolakan pemasukan ternak bunting dari daerah terjangkit, termasuk pembatasan impor hewan muda yang diharapkan memiliki kekebalan melalui infeksi alam sebelum bunting, merupakan strategi utama dalam menangani dan mencegah penyebaran penyakit Akabane."
Enzootic Bovine leukosis (EBL),Belum ada pengobatan pada EBL. ,Pencegahan dan pengendalian infeksi EBL saat ini hanya bergantung pada metode test and slaughter untuk hewan seropositif serta mempertahankan sistem kompartementalisasi dengan mengimpor sapi dari daerah yang bebas dari penyakit tersebut.
Infectious Bovine Rhinotracheitis (IBR),"Pemberian antibiotik dan vitamin dapat diberikan untuk 
mengurangi infeksi sekunder.","Pencegahan penyakit dapat dilakukan vaksinasi, kebersihan dan sanitasi 
kandang perlu dilakukan. Pemberian antibiotik dan vitamin dapat diberikan untuk 
mengurangi infeksi sekunder."
Blackleg ,"Pada masa lalu pengobatan dilakukan dengan pencicilin 4.000-
8.000 IU per kg berat badan dengan hasil baik. Namun demikian, jaringan 
yang mengalami gangren pada hewan yang sembuh umumnya mengelupas. 
Di negara maju, ternak dicurigai terserang radang paha umumnya dibunuh 
dan dikubur.","Pada daerah endemik, pencegahan black leg melalui vaksinasi ternak pada usia 6 bulan dengan vaksin kombinasi umumnya efektif, sementara pemberantasan jarang dilakukan kecuali saat timbulnya kasus baru yang disebabkan oleh masuknya ternak terinfeksi, di mana penguburan bangkai ternak berpotensi memutus rantai penularan penyakit tersebut."
Colibacillosis,"Bermacam-macam antibiotik diketahui memberikan hasil baik terhadap
kejadian colibacillosis, diantaranya tetracycline, neomycin dan streptomycin. 
Kebiasaan memberikan antibiotik kepada anak ternak sering menimbulkan 
resistensi. Pemberian antibiotik pada ternak potong dihentikan sekurangkurangnya 7 hari sebelum dipotong. Selain pemberian antibiotik atau 
sulfonamide, obat-obatan penunjang lainnya, sebaiknya diberikan juga infus 
dengan NaCl fi siologis.","Pencegahan dan pengendalian colibacillosis memerlukan manajemen kandang yang baik, pemberian kolostrum pada anak sapi baru lahir, disinfeksi rutin tempat makan dan minum, karantina serta pengobatan profilaksis terhadap ternak baru."
Dermatophilosis ,"Pengobatan dapat dilakukan dengan pemberian preparat tetracycline, penicillinestreptomycine.","Perawatan untuk mastitis melibatkan penggunaan antibiotik topikal dan sistemik, perubahan lingkungan peternakan untuk menjaga kekeringan, serta penggunaan sampo antibakteri"
Heartwater,"Pengobatan dapat dilakukan dengan Terramycin (Tetracycline) secara
intra muscular 2 mg/kg berat badan, atau melalui air minum 2-4 hari ","Pencegahan penyakit dapat dilakukan dengan isolasi dan pengobatan hewan yang tertular, pengendalian caplak, pemeriksaan darah berkala, serta menggunakan darah infeksi sebagai vaksin di daerah tertular, dengan penggunaan antibiotik spesifik jika timbul reaksi post-vaksinasi pada hewan sapi atau domba."
Orf,"Hewan terjangkit penyakit dapat diberi antibiotika berspektrum luas 
untuk mencegah infeksi sekunder. Disamping itu dapat diberikan multivitamin 
untuk memperbaiki kondisi tubuh sedangkan kulit yang terinfeks diberikan 
pengobatan lokal dengan jodium tincture","Pencegahan, pengendalian, dan pemberantasan penyakit Orf melibatkan penggunaan autovaksin bagi daerah endemik, isolasi hewan yang menunjukkan gejala, serta vaksinasi massal di daerah yang terjangkit, dengan praktik pembakaran atau penguburan hewan yang meninggal akibat penyakit untuk membatasi penyebaran."
Leptospirosis,"Pengobatan dengan dihidrostreptomisin dengan dosis 11 mg/kg berat badan setiap 12 jam selama 3 hari, atau 5 gram sehari dua kali selama tiga hari berturut-turut, efektif untuk menyembuhkan kasus akut leptospirosis dan mengeliminasi leptospira dari ginjal. Kombinasi antibiotik penicilin dan eritromisin juga dapat efektif mengatasi radang ginjal kronik dan leptospirosis.","Vaksinasi pada sapi dan babi penting untuk mencegah leptospirosis. Pencegahan penyebaran infeksi meliputi pencatatan suhu harian, dekontaminasi ekskreta, menjaga air minum bersih, menghilangkan daerah berlumpur, mengatur kerumunan hewan, pemeriksaan serum, isolasi hewan terinfeksi, menghindari kontak dengan hewan lain, serta penggunaan inseminasi buatan yang aman dari leptospirosis."
Listeriosis,"Pengobatan dilakukan dengan pemberian antibiotika seperti penicillin, tetracycline, terramycin, dan penambahan terapi suportif berupa vitamin.",Pencegahan leptospirosis pada hewan melibatkan: Peningkatan sanitasi dan manajemen kandang yang baik. Pengelompokan umur hewan dengan kandang terpisah untuk mencegah penyebaran penyakit
Mastitis,Pengobatan leptospirosis pada hewan melibatkan antibiotik yang cocok dengan bakteri penyebabnya. Uji sensitivitas disarankan sebelum pengobatan untuk hasil yang optimal. Penggunaan antibiotik yang berkelanjutan harus dihindari untuk mencegah residu tinggi. Daging sapi yang terinfeksi bisa dikonsumsi dengan memperhatikan keradangan ambing. Jaringan ambing yang rusak perlu dimusnahkan dengan membakar atau mengubur.,Pencegahan mastitis melibatkan praktik higiene pemerahan yang baik serta sanitasi kandang yang terjaga. Pemisahan hewan yang terinfeksi mastitis dari hewan sehat menjadi langkah penting dalam upaya pencegahan.
Paratuberkulosis,"Pengobatan paratuberculosis sulit karena resistensi M. paratuberculosis terhadap beberapa agen kemoterapik, termasuk isoniazid. Penggunaan clofazimine pada sapi hanya memberikan perbaikan klinis sementara. Pada kambing, kombinasi dihidrostreptomisin dengan rifampin dan isoniazid menunjukkan efek perbaikan klinis.","Pencegahan paratuberkulosis melibatkan langkah-langkah seperti pembersihan peternakan terinfeksi dan penggantian ternak dengan hewan yang bebas dari penyakit. Pengendalian sulit karena kesulitan mendeteksi sapi yang terinfeksi secara subklinis. Vaksinasi bisa digunakan, namun memiliki batasan seperti reaksi positif pada uji tuberkulin."
Pink eye,"Pink eye pada ternak seperti sapi dapat diobati dengan antibiotik seperti penicillin, streptomycin, gentamycin, dan tetracyclin. Oxytetracyclin yang bertindak lama efektif untuk pengobatan dalam. Penggunaan antibiotik topikal masih perlu penelitian lebih lanjut, tetapi furazolidone spray dapat mengurangi bakteri di mata dan ukuran ulser. Benzathine cloxacillin dalam bentuk minyak mengurangi bakteri M. bovis dan mempercepat penyembuhan ulser mata.","Mencegah pink eye pada ternak, jaga kebersihan kandang dan lingkungan, perhatikan kualitas pakan, dan hindari kepadatan hewan yang berlebihan. Kontrol infeksi melalui isolasi dan pengobatan hewan terinfeksi serta hindari paparan langsung sinar matahari pada kasus parah. Meskipun vaksin yang ada belum optimal, langkah-langkah pencegahan ini tetap krusial."
Salmonellosis,"Salmonellosis dapat diobati dengan menggunakan sulfonamida seperti sulfanilamid, sulfaquinoxalin, dan sulfamerasin; nitrofurans seperti nitrofurazone; serta antibiotika seperti streptomycin, neomycin, aureomycin, dan terramycin untuk mengatasi infeksi bakteri Salmonella pada hewan maupun manusia.","Salmonellosis, penyakit menular pada hewan dan manusia, dapat dicegah dengan vaksinasi, sanitasi lingkungan peternakan, pencegahan masuknya hewan terinfeksi, pemberantasan vektor, rotasi penggembalaan, dan pemberian pakan berkualitas dengan suplemen vitamin B/Niacin kepada hewan. Langkah-langkah ini bertujuan untuk mengurangi penyebaran penyakit serta menjaga kesehatan hewan dan manusia."
Tuberkulosis,Pengobatan tuberkulosis melibatkan terapi antibiotik jangka panjang dengan kombinasi obat tertentu yang dapat menimbulkan resistensi bakteri serta memerlukan pengawasan ketat selama proses pengobatan. ,"Pencegahan: Hapus hewan terinfeksi, uji tuberkulin, pisahkan kontak hewan sehat-terinfeksi. Kontrol: Sanitasi, pemantauan kesehatan, awasi hewan impor. Edukasi: Higienis, pemantauan, atasi penyebaran tuberkulosis."
Aspergillosis,"Pengobatan aspergollosis untuk hewan besar dengan pemberian Griseofulvin menunjukkan hasil yang memuaskan, tetapi biaya cukup mahal.","Pencegahan aspergillosis melibatkan langkah-langkah penting seperti isolasi hewan yang terinfeksi, menjaga agar pakan ternak tidak terkontaminasi cendawan, dan memusnahkan sumber cendawan serta spora dengan penambahan antimold atau toxynbinders dalam pakan."
Anaplasmosis,"Diobati dengan zat-zat warna seperti Trypan blue, Acriflavin, dan Eufalvine secara intravena atau intramuskular. Sediaan Quinoly seperti Acaprin, diamidine aromatik seperti Phentamidine, Phenamidin, Berenil, Amicarbalide, dan Imidocidoib juga bisa digunakan secara subkutan atau intramuskular. Antibiotika seperti Tetracycline dengan dosis yang bervariasi juga efektif. Obat-obatan lain seperti Haemosporidine dalam sediaan Novoplasmin, thiargen, sulfantrol, atau dithiosemicarzone (gloxazone) juga tersedia untuk pengobatan.","Vaksin anaplasmosis terdiri dari tiga jenis: vaksin A. marginale hidup yang menambah pembawa penyakit, vaksin A. central dari Afrika Selatan yang ditolak di Amerika Serikat, dan vaksin A. marginale mati dalam ajuvan yang memberikan kekebalan yang kurang baik setelah satu vaksinasi, namun dapat membantu meringankan penderitaan hewan dan memberikan kekebalan sementara setelah sembuh."
Babesiosis,"Pengobatan melibatkan diminazene diaceturate, imidocarb, dan amicarbalide dengan efektivitas yang tergantung pada deteksi dini penyakit ini. Vaksinasi menggunakan vaksin yang dilemahkan dari B.bovis dan B.bigemina efektif, namun tidak disarankan pada hewan bunting atau yang sedang berproduksi.","Pencegahan dapat dilakukan dengan cara menghindari kontak dengan ternak yang diinfestasi oleh tungau karena berpotensi untuk menularkan babesiosis, misalnya dengan melakukan penyemprotan insektisida atau repellant."
